#{"t_start": 1642286527.870901, "env_id": null}
r,l,t
84.099152,86,58.087924
85.773861,66,58.107922
167.727592,27,58.115922
159.319667,32,58.127922
36.705968,86,58.156931
186.082754,13,58.160931
163.14028,29,58.169931
179.049186,20,58.174931
102.663817,59,58.198924
148.126733,37,58.209924
171.508476,25,58.216924
134.552971,45,58.229924
160.763141,32,58.239923
119.177385,54,58.254924
111.633531,55,58.270924
193.162091,7,58.272924
-9.464158,104,58.302924
136.523943,53,58.317924
132.875471,46,58.330924
134.178788,46,58.344923
137.909048,43,58.357924
135.252202,44,58.370924
125.493162,47,58.383924
182.153683,16,58.388924
78.309526,81,58.411924
145.905354,43,58.42493
174.397238,21,58.43093
113.170558,53,58.444931
180.288414,17,58.449931
157.867162,31,58.45893
98.051821,64,58.476958
187.427208,12,58.479958
61.999651,77,58.51634
-0.08315,97,58.544341
133.472828,46,58.557345
154.825145,37,58.568338
177.478167,19,58.573339
103.401677,60,58.591337
159.87364,30,59.185306
83.315799,69,59.207306
160.994275,30,59.216305
-3.554297,99,59.249304
141.350964,42,59.262305
108.174352,56,59.280312
174.366949,23,59.288306
181.504477,16,59.293305
11.710818,91,59.320305
59.03169,82,59.347305
104.049563,58,59.368305
144.946876,39,59.381305
157.281913,33,59.396313
122.557346,49,59.411312
18.782015,91,59.437312
99.444698,60,59.454339
134.484358,53,59.469342
68.687998,73,59.490308
166.972614,27,59.498339
165.876155,28,59.505338
120.67218,50,59.520339
98.201471,58,59.536342
17.655629,95,59.563342
158.470428,31,59.572342
175.957622,20,59.578341
173.998469,23,59.584343
130.641605,44,59.59734
126.863095,50,59.611341
138.380839,43,59.624337
160.457069,31,59.632339
149.759524,40,59.64434
66.44902,76,59.666311
173.497874,22,59.67234
129.456567,47,59.692338
197.842772,3,59.693337
176.473555,20,59.699338
59.942595,77,59.721341
156.761496,32,59.730341
153.576406,34,59.739343
84.383345,65,59.758343
180.511183,17,59.763305
186.23102,13,59.767305
174.149876,22,59.773305
155.668961,33,59.782305
134.413631,46,59.796305
131.84742,49,60.388322
173.08305,23,60.395321
185.346564,14,60.399322
109.706367,53,60.415323
172.312902,24,60.424323
127.512879,48,60.438323
146.724061,38,60.449322
156.351036,32,60.459323
145.879627,39,60.471322
126.913819,48,60.488322
136.34203,44,60.504322
87.148465,67,60.525322
194.545074,6,60.527322
148.028882,37,60.539322
147.042766,40,60.553322
176.158884,20,60.558322
149.129964,35,60.569323
69.09808,76,60.602325
120.736481,53,60.617323
178.849452,18,60.622323
10.134947,94,60.648324
163.138819,29,60.657323
77.013437,70,60.676323
159.067085,30,60.685323
45.112777,85,60.709323
156.787965,32,60.718323
143.947413,40,60.729323
132.631612,46,60.742323
118.184603,53,60.757323
-5.328819,101,60.785323
-2.625533,100,60.814325
191.181175,9,60.817325
164.014398,29,60.825325
156.352069,33,60.834325
140.252,44,60.847323
172.517952,23,60.853327
141.359941,42,60.872354
132.170742,44,60.885355
35.308272,86,60.909359
76.152101,70,60.929358
136.837656,42,60.941355
-18.169951,104,60.97036
94.270006,62,60.988324
136.868816,41,61.577347
147.465084,38,61.590347
84.154702,67,61.612345
184.291934,15,61.618345
177.678043,19,61.625346
152.051826,38,61.638346
27.474598,88,61.668346
124.884633,51,61.684345
79.582039,90,61.713345
104.536412,59,61.731348
65.203583,75,61.754345
191.945454,8,61.757345
87.773948,66,61.783348
104.928501,61,61.801354
37.899488,85,61.825354
128.582785,46,61.838381
87.631178,66,61.857382
177.055442,20,61.86238
162.353556,30,61.871381
167.859464,25,61.877382
163.700659,29,61.886383
196.747506,4,61.887378
131.948108,46,61.900382
160.039756,30,61.90838
3.965498,96,61.935349
108.14485,57,61.951349
120.833099,51,61.965349
140.922621,47,61.978383
176.661135,20,61.984382
175.600296,21,61.990348
176.040798,22,61.996381
123.721524,47,62.009379
19.899,95,62.038346
171.847654,24,62.045378
95.326312,62,62.06938
133.220131,43,62.081382
139.226113,40,62.093384
146.297358,39,62.104387
116.557672,53,62.119383
183.409364,16,62.124382
134.509951,47,62.137383
153.371728,34,62.147378
-59.851851,120,62.181381
96.184091,59,62.761358
100.291623,56,62.779357
178.373499,18,62.785357
169.943286,25,62.794359
179.520718,19,62.800359
192.237712,8,62.803359
103.027403,54,62.821358
175.400244,23,62.830357
164.199634,29,62.840357
28.295194,91,62.867358
163.460207,32,62.877357
79.605658,80,62.903357
129.84778,47,62.917357
147.110842,37,62.936359
94.056096,63,62.957357
156.428867,32,62.967366
187.313496,12,62.971366
120.132583,51,62.986361
124.121225,50,63.00036
150.00728,36,63.011362
175.598872,23,63.017362
91.2112,66,63.036369
139.648406,43,63.051359
120.20142,51,63.065359
1.704569,98,63.093359
83.404051,67,63.11136
69.40513,72,63.132361
133.861354,45,63.14536
184.191471,14,63.149362
118.160422,50,63.163361
170.979829,24,63.170362
102.409477,59,63.187369
113.561331,54,63.202369
111.166917,56,63.218369
7.322416,95,63.251394
60.935389,78,63.274395
158.748257,32,63.283391
129.618822,46,63.29639
54.737537,80,63.319402
55.825004,77,63.341389
139.307397,43,63.353391
93.546442,63,63.371394
70.572489,75,63.984394
12.615565,95,64.018394
173.864216,21,64.026394
125.404322,45,64.040394
83.029239,67,64.060394
44.122595,84,64.087394
176.439351,20,64.095395
173.766389,23,64.103394
139.142265,43,64.119394
60.918258,76,64.150394
